SIGNAL_NAME,Lat,Lng
DN MID RSM STR,2112.30290,8113.17280
DN MID RSM ADV STR,2112.21720,8113.65670
DN MID A:MA358,2111.96960,8114.69040
DN MID SA G:MA360,2112.09390,8115.50820
DN MID L XING,2112.11680,8115.60550
DN MID SA G:MA362,2112.26750,8116.25540
DN MID L XING,2112.29340,8116.36770
DN MID DURG HOME,2112.26490,8116.84900
DN MID DURG STR,2111.89960,8117.81800
DN MID DURG INT STR,2111.82540,8118.05170
DN MID DURG ADV STR,2111.77460,8118.19530
DN MID DLBS HOME,2111.74170,8118.39910
DN MID DLBS STR,2111.85020,8118.97410
DN MID BQR HOME,2111.96720,8119.56600
DN MID BQR STR,2112.13170,8120.37400
DN MID BQR ADV STR,2112.20430,8120.75240
DN MID A:MA374,2112.33460,8121.43720
DN MID A:MA376,2112.47800,8122.16780
DN MID HALT:BPHB,2112.48260,8122.55090
DN MID A:MA378,2112.45050,8122.82970
DN MID SA G:MA380,2112.38460,8123.39000
DN MID L XING:440,2112.37080,8123.53850
DN MID A:MA382,2112.31660,8123.96670
DN MID NEU SEC,2112.29510,8124.20010
DN MID BIA HOME,2112.26550,8124.42250
DN MID BIA REP,2112.17580,8125.27490
DN MID BIA STR,2112.20160,8125.56880
DN MID BIA ADV STR,2112.29350,8125.78460
DN MID DBEC HOME,2112.67610,8126.63560
DN MID DBEC INT HOME,2112.86720,8127.06110
DN MID DBEC STR,2112.95380,8127.24840
DN MID DBEC ADV STR,2113.01490,8127.37880
DN MID DCBIN HOME,2113.04940,8127.45380
DN MID DCBIN STR,2113.33310,8128.08420
DN MID DCBIN ADV STR,2113.41460,8128.27490
DN MID A:MA388,2113.65700,8128.80890
DN MID ACBIN HOME,2113.88780,8129.32610
DN MID ACBIN STR,2114.11360,8129.83490
DN MID ACBIN ADV STR,2114.22350,8130.07710
DN MID KMI HOME,2114.34200,8130.34080
DN MID L XING:430,2114.38520,8130.43750
DN MID KMI STR,2114.74450,8131.23430
DN MID KMI ADV STR,2114.83990,8131.44620
DN MID L XING:,2114.90790,8131.59860
DN MID A:MA394,2115.02870,8132.23810
DN MID A:MA396,2115.03970,8133.08930
DN MID NEU SEC,2115.07490,8133.35000
DN MID SZB HOME,2115.11310,8133.70940
DN MID SZB STR,2115.20690,8134.59030
DN MID SZB ADV STR,2115.24530,8134.96140
DN MID A:A398,2115.28440,8135.52040
DN MID SA G:A400,2115.21000,8135.92350
DN MID L XING:419,2115.18820,8136.02970
DN MID SRWN PH,2115.13630,8136.27890
DN MID A:A402,2115.03770,8136.69060
DN MID R HOME,2114.93620,8137.31670
DN MID R STR,2115.50100,8137.79940
DN MID R ADV STR,2115.80510,8137.95410
DN MID GATE SIG,2116.19490,8138.12250
DN MID L XING:417,2116.29150,8138.16400
DN MID WRS PH,2116.66700,8138.33680
DN MID URK INNR,2116.75080,8138.38150
DN MID URK HOME,2117.23260,8138.62930
DN MID L XING:415,2117.32660,8138.67820
DN MID URK STR,2117.88910,8139.12540
DN MID L XING:414,2118.02750,8139.29980
DN MID URK ADV STR,2118.18160,8139.49020
DN MID NEU SEC,2118.39000,8139.74310
DN MID MDH DIST,2119.28240,8140.85830
DN MID MDH INNR DIST,2119.63680,8141.23190
DN MID MDH HOME,2119.96020,8141.70260
DN MID MDH STR,2120.39070,8142.48580
DN MID MDH ADV STR,2120.47260,8142.64250
DN MID SLH DISTANT,2124.04940,8144.81390
DN MID L XING:406,2124.45810,8144.94720
DN MID SLH INNR DIST,2124.58320,8144.98870
DN MID SLH HOME,2125.11800,8145.16300
DN MID L XING:405,2125.34150,8145.23580
DN MID SLH STR,2125.90100,8145.41940
DN MID SLH ADV STR,2126.14190,8145.50190
DN MID GATE SIG,2126.71700,8145.87540
DN MID L XING:404,2126.79620,8145.93450
DN MID GATE INNR DIST,2127.13170,8146.05710
DN MID GATE SIG,2127.64460,8146.19920
DN MID L XING:403,2127.75390,8146.22900
DN MID GATE INNR DIST,2128.37900,8146.39990
DN MID GATE SIG,2128.89580,8146.54150
DN MID L XING:401,2128.99730,8146.56930
DN MID BKTHW HOME,2129.12630,8146.60490
DN MID BKTHW STR,2129.54680,8146.72020
DN MID BKTHE HOME,2130.28300,8146.92080
DN MID BKTHE STR,2130.88620,8147.08740
DN MID GATE INR DIST,2131.31790,8147.20390
DN MID GATE SIG,2131.83670,8147.34670
DN MID L XING:399,2131.95430,8147.38080
DN MID TLD HOME,2132.58490,8147.55370
DN MID L XING:398,2132.78580,8147.60830
DN MID TLD STR,2133.27400,8147.74160
DN MID TLD ADV STR,2133.62130,8147.83340
DN MID GATE DIST,2133.91580,8147.91770
DN MID NEU SEC,2134.01330,8147.94060
DN MID GATE INNR DIST,2134.44330,8148.06240
DN MID GATE SIG,2134.96610,8148.20650
DN MID L XING:395,2135.05610,8148.22900
DN MID L XING:394,2135.58920,8148.44670
DN MID GATE DIST,2136.19840,8149.05170
DN MID INNR DIST,2136.63480,8149.48580
DN MID GATE SIG,2137.03120,8149.87740
