SIGNAL_NAME,Lat,Lng
DNDN NGP STR,2109.27230,7905.33980
DN DN NGP INT STR,2109.47950,7905.38150
DN NGP ADV STR,2109.71880,7905.73770
DN NGP GATE SIG,2109.75540,7906.06940
DN L XING,2109.79230,7906.19720
DN NEU SEC,2109.84890,7906.39390
DN GATE IN DIST,2109.95710,7906.89060
DN NGP GATE SIG,2109.99670,7907.68860
DN L XING,2110.01090,7907.80470
DN KAV HOME,2110.01580,7907.84760
DN KAV STR,2110.12960,7908.73430
DN L XING,2110.18610,7908.99520
DN KAV ADV STR,2110.28900,7909.20520
DN AUTO SIGNAL 2,2110.67570,7909.60280
DN AUTO SIGNAL 4,2111.63500,7910.41030
DN AUTO SIGNAL 6,2111.95270,7910.78550
DN KP HOME,2112.51360,7911.46850
DN L XING,2112.57470,7911.58740
DN KP STR,2112.75170,7912.05170
DN KP ADV STR,2112.84910,7912.30410
DN AUTO SIGNAL 10,2113.10030,7912.96010
DN KNHN HOME,2113.33940,7913.49990
DN KNHN STR,2113.55890,7914.48550
DN KNHN ADV STR,2113.68270,7914.93430
DN NEU SEC,2113.80260,7915.39460
DN AUTO SIGNAL 12,2113.86830,7915.62970
DN AUTO SIGNAL 14,2114.02550,7916.22580
DN SAL HOME,2114.18260,7916.97050
DN L XING,2114.17950,7917.08860
DN SAL STR,2114.15700,7917.79220
DN L XING,2114.15280,7917.93890
DN SAL ADV STR,2114.14920,7918.06190
DN AUTO SIGNAL 20,2114.12760,7918.77400
DN SA G:A22,2114.12320,7919.34210
DN L XING,2114.14280,7919.48410
DN AUTO SIGNAL 24,2114.21060,7919.81380
DN CHCR HOME,2114.38820,7920.73620
DN CHCR STR,2114.53550,7921.50740
DN L XING,2114.56260,7921.64890
DN CHCR ADV STR,2114.58660,7921.77050
DN AUTO SIGNAL 30,2114.70050,7922.35360
DN AUTO SIGNAL 32,2114.82430,7922.98580
DN SA G:A34,2114.97010,7923.66230
DN L XING,2115.01140,7923.78590
DN TAR HOME,2115.24560,7924.46260
DN L XING,2115.30320,7924.62400
DN TAR STR,2115.46130,7925.08010
DN TAR ADV STR,2115.55520,7925.36550
DN AUTO SIGNAL 36,2115.66820,7926.02960
DN NEU SEC,2115.67800,7926.30170
DN AUTO SIGNAL 38,2115.69410,7926.83330
DN RRL HOME,2115.71830,7927.59460
DN RRL STR,2115.57990,7928.24070
DN RRL ADV STR,2115.49010,7928.43830
DN AUTO SIGNAL 40,2115.05650,7929.35750
DN AUTO SIGNAL 42,2114.82170,7929.93090
DN AUTO SIGNAL 44,2114.75230,7930.59810
DN AUTO SIGNAL 46,2114.70410,7931.63540
DN KT HOME,2114.63390,7932.53430
DN L XING,2114.61350,7932.65990
DN KT STR,2114.51050,7933.29890
DN KT ADV STR,2114.48270,7933.43230
DN AUTO SIGNAL 48,2114.37170,7934.10690
DN AUTO SIGNAL 50,2114.26020,7934.78580
DN AUTO SIGNAL 52,2114.10380,7935.70790
DN AUTO SIGNAL 54,2114.04490,7936.35500
DN AUTO SIGNAL 56,2114.11810,7937.01100
DN AUTO SIGNAL 58,2114.19520,7937.70690
DN BRD HOME,2114.26070,7938.28250
DN L XING,2114.29500,7938.56260
DN BRD STR,2114.35000,7939.04200
DN BRD ADV STR,2114.37560,7939.27550
DN AUTO SIGNAL 60,2114.33420,7939.94520
DN NEU SEC,2114.25470,7940.42580
DN AUTO SIGNAL 62,2114.20130,7940.73060
DN SA G:A64,2114.38150,7941.53360
DN L XING,2114.47650,7941.68140
DN AUTO SIGNAL 66,2114.76110,7942.07960
DN K HOME,2115.14710,7942.47740
DN K STR,2115.70250,7942.74140
DN L XING,2115.84270,7942.80220
DN K ADV STR,2115.87790,7942.81760
DN AUTO SIGNAL 68,2116.39490,7943.04260
DN AUTO SIGNAL 70,2116.89410,7943.26050
DN SA G:A72,2117.39480,7943.47840
DN L XING,2117.53780,7943.54070
DN AUTO SIGNAL 74,2118.10430,7943.78800
DN SA G:A76,2118.87080,7944.12130
DN L XING,2118.97840,7944.16910
DN AUTO SIGNAL 78,2119.52220,7944.40820
DN TMR HOME,2119.98290,7944.60990
DN L XING,2120.21850,7944.71350
DN TMR STR,2120.59190,7945.18570
DN L XING,2120.65190,7945.28080
DN TMR ADV STR,2120.72700,7945.43350
DN AUTO SIGNAL 80,2120.77620,7946.00960
DN SA G:A82,2120.80370,7946.60730
DN L XING,2120.79070,7946.71720
DN NEU SEC,2120.77120,7946.81100
