Station_Name,Start_Lat ,Start_Lng,End_Lat ,End_Lng
AAGH,2005.10440,8108.32710,2005.91830,8108.35880
ACBIN,2113.91440,8129.39010,2114.22160,8130.07420
AGN,2121.97140,8021.97440,2121.51130,8022.81870
AKT,2201.71200,8224.76330,2201.78780,8225.66300
ANMD,2111.15460,8157.85440,2111.50560,8156.90910
ARN,2106.01030,8211.46630,2106.22980,8210.51900
AVP,2102.32290,8144.60610,2103.24190,8144.75120
BAKL,2107.67650,8056.05570,2107.25740,8056.91400
BEF,2158.73810,8315.19070,2158.01940,8316.28450
BGBR,2102.46630,8223.42040,2102.99910,8222.75830
BHTK,2236.48330,8153.72460,2236.48330,8153.72460
BIA,2112.25190,8124.53900,2112.29630,8125.78900
BIG,2225.30050,8201.85970,2226.27150,8202.02420
BKTHE,2130.28890,8146.92130,2130.89350,8147.08740
BKTHW,2129.13080,8146.60400,2129.48550,8146.70110
BLSN,2109.09370,8202.64060,2109.41060,8201.73580
BMKJ,2104.72520,8217.74600,2104.89670,8216.84610
BPHB,2112.48260,8122.55090,2112.48260,8122.55090
BPRH,2205.04580,8241.30750,2205.77930,8241.43250
BPTP,2017.34120,8104.02000,2018.23400,8103.75400
BQR,2111.98650,8119.65470,2112.20380,8120.76410
BRD,2114.26070,7938.28250,2114.37560,7939.27550
BSBH,2041.34710,8107.55900,2041.34710,8107.55900
BSP,2203.47680,8209.88670,2203.15980,8211.07570
BTL,2113.47890,8037.07960,2112.96550,8038.02580
BUA,2200.80100,8247.99970,2200.81630,8250.39100
BXA,2044.23690,8111.73100,2044.55860,8112.61880
BYL,2157.12140,8204.23380,2158.14240,8204.98090
BYT,2143.60480,8156.41250,2144.34130,8157.14690
CBD,2110.09800,8145.81710,2110.09800,8145.81710
CHBT,2200.10480,8206.63570,2200.10480,8206.63570
CHCR,2114.38820,7920.73620,2114.58660,7921.77050
CORDC,2203.87740,8208.51360,2204.31980,8208.10210
CPH,2202.05010,8239.25640,2201.96790,8240.54550
DBEC,2112.64270,8126.56120,2113.07020,8127.49950
DCBIN,2113.11120,8127.58920,2113.41320,8128.26660
DGG,2111.10650,8044.92800,2111.11420,8046.08860
DGS,2153.88040,8204.14300,2154.86580,8204.15230
DKS,2116.51030,8034.57780,2115.91670,8035.15880
DLBS,2111.76200,8118.52810,2111.87430,8119.09510
DNL,2119.42950,8025.15800,2119.25640,8025.86100
DPH,2201.21450,8207.17520,2202.18570,8207.59320
DRZ,2034.69000,8103.97520,2035.62820,8104.17550
DURG,2112.26490,8116.84900,2111.76830,8118.19340
FRGD,2108.14720,8145.09410,2108.14720,8145.09410
G,2127.77850,8010.63520,2127.69970,8012.22230
GDM,2125.37290,8016.66530,2124.72780,8017.51390
GDUM,2025.81380,8105.02250,2026.63220,8105.18850
GDZ,2056.49060,8118.08700,2057.28250,8118.25420
GJ,2126.58650,8003.08350,2126.68130,8004.14820
GTK,2209.49630,8205.35410,2210.38630,8204.99080
GTW,2202.99870,8213.15190,2203.29830,8214.61870
HN,2137.50190,8150.34960,2138.81400,8151.64990
HSK,2037.14130,8246.28460,2037.83320,8245.76360
