SIGNAL_NAME,Lat,Lng
UP MID CPH STR,2202.10540,8239.75050
UP MID L XING:338,2202.10430,8239.47330
UP MID CPH ADV STR,2202.09170,8239.40910
UP MID A:AJ117,2201.81390,8238.84360
UP MID A:AJ113,2201.49160,8238.38180
UP MID A:AJ109,2201.24130,8237.82550
UP MID A:AJ105,2201.21120,8237.20140
UP MID A:AJ101,2201.20520,8236.62960
UP MID A:AJ97,2201.19780,8236.01790
UP MID A:AJ93,2201.19770,8235.27180
UP MID NIA HOME,2201.28880,8234.62230
UP MID NIA STR,2201.41690,8233.71990
UP MID L XING:345,2201.43950,8233.56350
UP MID NIA ADV STR,2201.46260,8233.38690
UP MID A:AJ89,2201.56810,8232.63760
UP MID A:AJ85,2201.67450,8231.89430
UP MID A:AJ81,2201.65890,8231.17400
UP MID NEU SEC,2201.63170,8230.80650
UP MID A:AJ77,2201.60330,8230.34090
UP MID KPNA PH,2201.57340,8229.93150
UP MID SAG:AJ73,2201.56450,8229.73980
UP MID A:AJ69,2201.68980,8228.93100
UP MID A:AJ65,2201.84650,8228.32530
UP MID A:AJ61,2202.01450,8227.67230
UP MID SAG:AJ57,2202.03990,8227.04980
UP MID A:AJ53,2201.93520,8226.48610
UP MID AKT HOME,2201.82900,8225.90970
UP MID AKT STR,2201.74500,8225.21820
UP MID AKT ADV STR,2201.72450,8224.97330
UP MID LATIA HOME,2201.68440,8224.47900
UP MID L XING:354,2201.64670,8224.00670
UP MID LATIA STR,2201.64880,8224.03430
UP MID SA G:AJ47,2201.59330,8223.34870
UP MID L XING:355,2201.58850,8223.18460
UP MID A:AJ43,2201.53320,8222.59930
UP MID KTSH PH,2201.49790,8222.15880
UP MID A:AJ39,2201.47460,8221.86860
UP MID A:AJ35,2201.41810,8221.16910
UP MID A:AJ31,2201.49260,8220.55100
UP MID A:AJ27,2201.71130,8219.85680
UP MID A:AJ23,2201.86020,8219.13300
UP MID JRMG HOME,2201.96160,8218.39350
UP MID L XING:360,2201.99940,8218.13580
UP MID JRMG STR,2202.06340,8217.63420
UP MID JRMG ADV STR,2202.15050,8217.39490
UP MID NEU SEC,2202.29960,8217.03270
UP MID A:AJ19,2202.39920,8216.79440
UP MID A:AJ15,2202.68540,8216.11390
UP MID A:AJ11,2202.93160,8215.51820
UP MID GTW HOME,2203.19750,8214.87530
UP MID GTW INNR HOME,2203.36590,8214.17370
UP MID GTW STR,2203.18200,8213.57300
UP MID GTW ADV STR,2203.10740,8213.40380
UP MID A:AJ7,2202.82980,8212.62240
UP MID A:AJ3,2202.91920,8212.01550
UP MID BSP HOME,2203.11610,8211.22780
UP MID BSP STR,2203.39940,8210.13860
UP MID BSP INT STR,2203.55430,8209.55120
UP MID BSP INT STR,2203.49560,8208.54190
UP MID BSP ADV STR,2203.24960,8208.34610
UP MID NEU SEC,2203.04690,8208.19430
UP MID A:AR3,2202.81380,8208.02090
UP MID DPH HOME,2202.43340,8207.74120
UP MID DPH STR,2201.60870,8207.34610
UP MID DPH ADV STR,2201.26570,8207.19670
UP MID A:AR7,2200.69060,8206.96040
UP MID A:AR11,2200.19140,8206.71670
UP MID A:AR15,2159.48420,8206.11760
UP MID A:AR19,2159.03620,8205.73820
UP MID SA G:AR23,2158.59760,8205.36910
UP MID L XING:372,2158.51560,8205.29580
UP MID BYL HOME,2158.30650,8205.11810
UP MID BYL STR,2157.56660,8204.48770
UP MID L XING:373,2157.51530,8204.44580
UP MID BYL ADV STR,2157.26570,8204.27340
UP MID SA G:AR27,2156.93850,8204.22770
UP MID L XING:374,2156.82340,8204.21920
UP MID A:AR31,2156.35060,8204.20790
UP MID A:AR35,2155.81490,8204.18930
UP MID SA G:AR39,2155.29380,8204.17160
UP MID L XING:375,2155.18320,8204.16500
UP MID DGS HOME,2155.04000,8204.16010
UP MID DGS STR,2154.18170,8204.13180
UP MID DGS ADV STR,2153.93550,8204.13520
UP MID SA G:AR43,2153.77190,8204.16350
UP MID L XING:376,2153.63520,8204.17820
UP MID A:AR47,2153.13070,8204.25470
UP MID A:AR51,2152.50520,8204.29030
UP MID A:AR59,2151.53600,8203.95350
UP MID NEU SEC,2151.09510,8203.65200
UP MID A:AR63,2150.82810,8203.47660
UP MID NPI HOME,2150.18330,8203.06100
UP MID NPI STR,2149.41580,8202.55850
UP MID NPI ADV STR,2149.15890,8202.39500
UP MID SA G:AR77,2148.47450,8201.96130
UP MID L XING:379,2148.32440,8201.85740
UP MID A:AR81,2147.96770,8201.50190
UP MID SA G:AR85,2147.62170,8200.94430
UP MID L XING:380,2147.56170,8200.84520
UP MID A:AR89,2147.20710,8200.27750
UP MID A:AR93,2146.78390,8159.60260
UP MID SA G:AR97,2146.33340,8159.13410
UP MID L XING:382,2146.22650,8159.02680
UP MID A:AR101,2145.84350,8158.64740
UP MID A:AR105,2145.37950,8158.18620
UP MID A:AR109,2144.92230,8157.73120
UP MID NEU SEC,2144.73180,8157.53570
UP MID BYT HOME,2144.44260,8157.25190
UP MID BYT STR,2143.75620,8156.56830
UP MID BYT INT STR,2143.36100,8156.17280
UP MID L XING:385,2143.30340,8156.11520
UP MID BYT ADV STR,2143.21320,8156.02530
UP MID GATE SIG,2142.58310,8155.39990
UP MID L XING:386,2142.50760,8155.32510
UP MID L XING:389,2140.12250,8152.95160
UP MID HN EAST DIST,2139.78110,8152.61270
UP MID HN INNR DIST,2139.37810,8152.21330
UP MID HN EAST HOME,2138.91940,8151.75630
UP MID HN HOME,2138.28470,8151.12540
UP MID HN STR,2137.82180,8150.65380
UP MID L XING:391,2137.73710,8150.57420
UP MID HN ADV STR,2137.59060,8150.42820
UP MID GATE SIG,2137.20720,8150.04930
UP MID L XING:392,2137.13420,8149.97700
UP MID GATE DIST,2136.10530,8148.96330
UP MID GATE INNR DIST,2135.68880,8148.55150
UP MID L XING:394,2135.62010,8148.48090
UP MID GATE SIG,2135.23510,8148.28160
UP MID L XING:395,2135.09330,8148.24020
UP MID TLD DISTANT,2134.88300,8148.18210
UP MID TLD INNR DIST,2134.33340,8148.03020
UP MID NEU SEC,2134.13230,8147.97460
UP MID TLD HOME,2133.77860,8147.87590
UP MID TLD STR,2132.91720,8147.63520
UP MID L XING:398,2132.81600,8147.61230
UP MID TLD ADV STR,2132.73470,8147.59030
UP MID GATE SIG,2132.11990,8147.42220
UP MID L XING:399,2131.98810,8147.38570
UP MID BKTHE INNR DIST,2131.57060,8147.27140
UP MID BKTHE HOME,2131.04340,8147.12790
UP MID BKTHE STR,2130.44640,8146.96280
UP MID BKTHW HOME,2129.69200,8146.75240
UP MID BKTHW STR,2129.27570,8146.64250
UP MID GATE SIG,2129.14290,8146.60740
UP MID L XING:401,2129.02640,8146.57610
UP MID GATE INNR DIST,2128.44930,8146.41600
UP MID GATE SIG,2127.89460,8146.26310
UP MID L XING:403,2127.79340,8146.23580
UP MID GATE INNR DIST,2127.37870,8146.12150
UP MID GATE SIG,2126.92210,8145.99410
UP MID L XING:404,2126.82990,8145.95010
UP MID SLH HOME,2126.29450,8145.57170
UP MID SLH STR,2125.43450,8145.27190
UP MID L XING:405,2125.37370,8145.24950
UP MID SLH ADV STR,2125.25390,8145.20800
UP MID L XING:406,2124.48950,8144.95990
UP MID MDH DISTANT,2121.39620,8143.44720
UP MID MDH INNR DIST,2120.97540,8143.15030
UP MID MDH HOME,2120.54120,8142.77240
UP MID MDH STR,2120.19480,8142.12930
UP MID MDH ADV STR,2120.02770,8141.82810
UP MID URK DISTANT,2119.00020,8140.51070
UP MID URK INNR DIST,2118.63910,8140.07170
UP MID NEU SEC,2118.49240,8139.88740
UP MID URK HOME,2118.28550,8139.62640
UP MID L XING:414,2118.04280,8139.32320
UP MID URK STR,2117.57840,8138.80560
UP MID URK ADV STR,2117.37320,8138.70210
UP MID L XING:415,2117.35140,8138.69040
UP MID GATE INNR DIST,2116.85920,8138.44590
UP MID WRS PH,2116.66700,8138.33680
UP MID GATE SIG,2116.42220,8138.22070
UP MID L XING:417,2116.32830,8138.18010
UP MID R HOME,2115.90440,8137.99860
UP MID R STR,2115.19110,8137.67810
UP MID R ADV STR,2114.96310,8137.40410
UP MID A:A401,2115.03170,8136.75570
UP MID SRWN PH,2115.13340,8136.27290
UP MID SA G:A399,2115.15880,8136.18260
UP MID L XING:419,2115.17280,8136.07860
UP MID A:A397,2115.28400,8135.54570
UP MID SZB HOME,2115.23530,8134.88370
UP MID SZB STR,2115.15840,8134.18160
UP MID SZB ADV STR,2115.12810,8133.85930
UP MID NEU SEC,2115.08650,8133.51090
UP MID A:MA395,2115.05580,8133.21660
UP MID A:MA393,2115.02060,8132.67550
UP MID SA G:MA391,2114.95650,8131.74130
UP MID L XING:429,2114.91290,8131.63910
UP MID KMI HOME,2114.85820,8131.51700
UP MID KMI STR,2114.53680,8130.81540
UP MID KMI ADV STR,2114.40900,8130.51610
UP MID L XING:430,2114.38910,8130.47110
UP MID ACBIN HOME,2114.28320,8130.22280
UP MID ACBIN STR,2114.01020,8129.61170
UP MID ACBIN ADV STR,2113.94320,8129.46580
UP MID A:MA387,2113.70820,8128.93890
UP MID DCBIN HOME,2113.46590,8128.39940
UP MID DCBIN STR,2113.19230,8127.78850
UP MID DCBIN ADV STR,2113.13800,8127.66500
UP MID DBEC HOME,2113.05990,8127.48880
UP MID DBEC STR,2112.92160,8127.17570
UP MID DBEC INT STR,2112.80310,8126.90720
UP MID DBEC ADV STR,2112.69200,8126.66800
UP MID BIA HOME,2112.35200,8125.90770
UP MID BIA STR,2112.18950,8125.01020
