SIGNAL_NAME,Lat,Lng
UP RIG STR,2153.50670,8323.20330
UP RIG ADV STR,2153.56020,8323.01090
UP JSPL DIST,2153.78170,8322.65480
UP JSPL INNR DIST,2154.09540,8322.19030
UP JSPL HOME,2154.40960,8321.72120
UP JSPL STR,2154.72630,8321.24690
UP NEU SEC AHEAD,2154.83020,8321.09040
UP KDTR INNR DIST,2154.99600,8320.84040
UP KDTR HOME,2155.23620,8320.47870
UP KDTR STR,2155.69280,8319.77530
UP KDTR INT STR,2155.84720,8319.54780
UP KDTR ADV STR,2155.92060,8319.43700
UP L XING:293,2155.96280,8319.38260
UP IB DIST,2156.59380,8318.43110
UP IB INNR DIST,2156.91140,8317.94430
UP IBH SIG,2157.22830,8317.46910
UP GATE SIG,2157.57900,8316.93910
UP L XING:297,2157.68030,8316.79300
UP NEU SEC AHEAD,2157.83560,8316.55640
UP BEF HOME,2157.93600,8316.40520
UP BEF R HOME,2158.21250,8315.98440
UP L XING:298,2158.27030,8315.89660
UP BEF STR,2158.57270,8315.43500
UP L XING:299,2158.61170,8315.38130
UP BEF ADV STR,2158.63660,8315.33650
UP GATE DIST,2158.92120,8314.91290
UP GATE INNR DIST,2159.24580,8314.42200
UP GATE SIG,2159.55630,8313.95200
UP L XING:301,2159.61210,8313.86760
UP SPGCL HOME,2200.03280,8313.04850
UP SPGCL STR,2200.00510,8312.59590
UP L XING:303,2159.96610,8312.48090
UP ROB IN DIST,2159.71070,8311.95800
UP ROB HOME,2159.48880,8311.48020
UP L XING:305,2159.44990,8311.36540
UP ROB STR,2159.40470,8310.62630
UP ROB INT STR,2159.46960,8310.42790
UP ROB ADV STR,2159.54770,8310.19290
UP IB DIST,2159.81260,8309.37960
UP IB INNR DIST,2159.87300,8308.79680
UP NEU SEC AHEAD,2159.88670,8308.63980
UP IB SIG,2159.87450,8308.08980
UP GATE SIG,2159.86250,8307.80930
UP L XING:311,2159.85630,8307.67040
UP KHS INNR DIST,2159.76710,8307.22730
UP KHS HOME,2159.62980,8306.65200
UP KHS STR,2159.45030,8305.82200
UP L XING:313,2159.45230,8305.74640
UP KHS ADV STR,2159.47550,8305.55150
UP JDI DIST,2159.61940,8304.97110
UP JDI INNR DIST,2159.76350,8304.33130
UP JDI HOME,2159.86590,8303.80260
UP L XING:316,2159.89230,8303.66620
UP JDI STR,2200.01430,8303.03300
UP JDI ADV STR,2200.05080,8302.84530
UP NEU SEC AHEAD,2200.22010,8301.98990
UP IB DIST,2200.41430,8300.98930
UP IB INNR DIST,2200.53190,8300.38230
UP IB SIG,2200.63260,8259.79620
UP GATE DIST,2200.60340,8259.43490
UP GATE INNR DIST,2200.58190,8258.83680
